证券代码,证券简称,"经营活动产生的现金流量净额/流动负债
[报告期] 2017一季","经营活动产生的现金流量净额/流动负债
[报告期] 2017中报","经营活动产生的现金流量净额/流动负债
[报告期] 2017三季","经营活动产生的现金流量净额/流动负债
[报告期] 2017年报","经营活动产生的现金流量净额/流动负债
[报告期] 2018一季","经营活动产生的现金流量净额/流动负债
[报告期] 2018中报","资产负债率
[报告期] 2017一季
[单位] %","资产负债率
[报告期] 2017中报
[单位] %","资产负债率
[报告期] 2017三季
[单位] %","资产负债率
[报告期] 2017年报
[单位] %","资产负债率
[报告期] 2018一季
[单位] %","资产负债率
[报告期] 2018中报
[单位] %","债项评级
[交易日期] 2018-09-14
[评级机构] 全部评级机构","债项评级
[交易日期] 2018-06-29
[评级机构] 全部评级机构","债项评级
[交易日期] 2018-03-30
[评级机构] 全部评级机构","债项评级
[交易日期] 2017-12-29
[评级机构] 全部评级机构","债项评级
[交易日期] 2017-09-29
[评级机构] 全部评级机构","估价收益率(上清所)
[日期] 2018-09-14","估价收益率(上清所)
[日期] 2018-06-29","估价收益率(上清所)
[日期] 2018-03-30","估价收益率(上清所)
[日期] 2017-12-29","估价收益率(上清所)
[日期] 2017-09-29","估价修正久期(上清所)
[日期] 2018-09-14","估价修正久期(上清所)
[日期] 2018-06-29","估价修正久期(上清所)
[日期] 2018-03-30","估价修正久期(上清所)
[日期] 2017-12-29","估价修正久期(上清所)
[日期] 2017-09-29"
136226.SH,16锡公01,0.0169,0.0825,0.1375,0.3742,-0.0289,0.1391,61.7821,60.9572,60.7134,53.0065,52.1821,53.0308,AAA,AAA,AAA,AAA,AAA,3.8698,4.2944,4.3844,4.6475,4.2999,2.2534,2.4386,2.6737,2.8079,3.0641
136227.SH,16住总01,-0.1295,-0.2797,-0.5154,-0.5514,-0.0718,-0.0909,81.1777,82.7554,82.6425,80.6415,83.0721,83.6154,AA+,AA+,AA+,AA+,AA+,4.0491,4.5153,4.7466,5.1418,5.0523,0.4178,0.6099,0.8426,1.0368,1.2767
136228.SH,16国电02,0.0077,0.0388,0.0427,0.1094,0.0026,0.0215,81.7493,81.8162,81.3202,80.9918,81.1928,81.1216,AAA,AAA,AAA,AAA,AAA,3.1259,4.142,4.5047,5.0588,4.4401,0.4458,0.6453,0.8763,1.0755,1.3208
136229.SH,16珠投03,,-0.0216,,-0.0316,,0.0172,,78.0025,,77.0785,,78.4615,AA+,AA+,AA+,AA+,AA+,5.4106,5.5508,5.6183,5.86,5.7023,0.4175,0.6145,0.8491,1.0317,1.2718
136230.SH,16宏桥05,0.0292,0.1751,0.4168,0.549,0.0916,0.1447,65.5546,67.8014,66.6316,66.4747,66.5463,67.1742,AA+,AA+,AA+,AA+,AA+,4.763,5.0834,5.3318,5.7244,5.7051,0.4113,0.6055,0.8365,1.0256,1.262
136232.SH,16漳九龙,0.0106,0.0287,0.0519,0.1521,0.0367,0.0564,64.1061,64.6078,65.2843,65.7819,66.3397,68.2531,AA+,AA+,AA+,AA+,AA+,4.1505,4.6529,4.6617,4.9699,4.6137,2.3474,2.5285,2.6664,2.8896,3.1459
136233.SH,16保利03,-0.0521,-0.0315,-0.0938,-0.0807,-0.0683,-0.0232,76.4143,78.8283,79.939,77.2792,78.4473,79.3165,AAA,AAA,AAA,AAA,AAA,3.0351,3.3208,3.5229,3.8202,3.6713,0.4321,0.6299,0.8659,1.0706,1.3153
136234.SH,16保利04,-0.0521,-0.0315,-0.0938,-0.0807,-0.0683,-0.0232,76.4143,78.8283,79.939,77.2792,78.4473,79.3165,AAA,AAA,AAA,AAA,AAA,4.7562,4.9547,5.2547,5.5082,4.8857,6.0937,6.2753,6.4824,6.4069,6.7174
136235.SH,16晋然01,0.0363,0.0516,0.0443,0.1259,0.0192,-0.0047,81.3798,81.8464,82.7363,83.6422,84.5492,84.5436,AA+,AA+,AA+,AA+,AA+,3.2998,3.6122,3.7379,4.03,3.8722,0.4411,0.6379,0.8752,1.0773,1.3218
136236.SH,16复药01,0.0367,0.1084,0.1184,0.1554,0.0261,0.0539,45.137,45.729,48.2566,52.0075,51.532,53.9686,AAA,AAA,AAA,AAA,AAA,3.5769,3.9308,4.0964,4.0773,3.9051,0.4457,0.6409,0.8765,1.0852,1.3301
136237.SH,16纳通01,,0.1014,,0.1523,,0.1416,,42.5476,,42.4401,,38.8831,AA,AA,AA,AA,AA,5.0121,6.0991,6.2124,6.7673,6.1471,0.4499,0.6448,0.8708,1.0455,1.2868
136238.SH,16兴发01,,0.0581,,0.2376,,0.0636,,69.8885,,67.6776,,67.1479,AA,AA,AA,AA,AA,4.8145,5.1361,5.2624,5.5593,5.397,0.4529,0.6468,0.8807,1.0667,1.3077
136239.SH,16国联01,-0.0026,-0.1254,-0.1596,-0.1564,0.0144,-0.0231,62.2455,60.0757,61.6163,61.3747,61.4079,63.3485,AAA,AAA,AAA,AAA,AAA,3.3382,3.7055,3.9096,4.1934,4.0616,0.4417,0.6371,0.8722,1.0761,1.3194
136240.SH,16北部湾,0.0071,0.0303,0.0644,0.1277,0.0072,0.0231,71.722,72.152,72.754,71.6263,71.9164,71.9331,AA+,AA+,AA+,AA+,AA+,5.0673,5.8949,5.8374,6.1834,5.4357,2.2387,2.4192,2.6562,2.7804,3.0397
136241.SH,16中牧01,-0.2453,-0.3178,-0.2568,0.1871,-0.193,-0.1389,38.1992,38.2447,39.9838,37.0741,35.6344,34.605,AA+,AA+,AA+,AA+,AA+,3.4246,3.7983,4.0543,4.4172,4.309,0.4295,0.6247,0.8583,1.0583,1.3003
136242.SH,16中车G1,-0.0841,-0.0825,-0.0432,0.083,-0.0274,-0.0515,63.0141,64.6854,65.0832,65.1501,65.115,65.2766,AAA,AAA,AAA,AAA,AAA,3.0118,3.2959,3.4952,3.7894,3.6345,0.4482,0.6461,0.8822,1.0871,1.3321
136243.SH,16中车G2,-0.0841,-0.0825,-0.0432,0.083,-0.0274,-0.0515,63.0141,64.6854,65.0832,65.1501,65.115,65.2766,AAA,AAA,AAA,AAA,AAA,3.4706,3.6849,3.8482,4.0199,3.7702,2.28,2.4697,2.6989,2.8361,3.0952
136244.SH,16华夏02,-0.0138,-0.0213,-0.1094,-0.0712,-0.0427,-0.0336,83.9527,82.8633,81.6361,81.1016,81.3211,82.098,AAA,AAA,AAA,AAA,AAA,5.5833,6.1536,4.9996,5.3638,5.2669,0.413,0.6002,0.863,1.0533,1.2929
136245.SH,16海投01,-0.1067,0.1326,0.1583,0.1435,0.0334,0.1338,70.8447,70.6841,71.1407,72.3292,71.4832,71.9559,AA+,AA+,AA+,AA+,AA+,4.1592,4.551,4.737,5.0872,4.9652,0.509,0.7021,0.9358,1.129,1.37
136246.SH,16津投01,-0.0071,0.0371,0.0452,0.0381,-0.0004,0.0454,66.529,66.6287,66.7678,66.5381,67.2807,66.9739,AAA,AAA,AAA,AAA,AAA,3.353,3.6151,3.7092,3.8604,3.595,2.2843,2.4709,2.705,2.8421,3.1029
136247.SH,16华综01,-0.0832,-0.1095,-0.099,0.0117,-0.0204,-0.0124,56.7201,57.3652,59.4204,54.9361,53.6926,42.7759,AA+,AA+,AA+,AA+,AA+,3.7258,4.1746,4.4243,4.7961,4.7234,0.4589,0.6517,0.8846,1.0827,1.3229
136248.SH,16外运01,,-0.0114,,0.1207,,-0.0461,,48.2181,,58.5486,,58.3828,AAA,AAA,AAA,AAA,AAA,4.1195,4.6553,5.0003,5.3348,4.6778,2.2733,2.4625,2.6914,2.8285,3.0868
136249.SH,16海怡01,,0.0747,,0.1135,,0.0423,,74.7105,,71.5793,,72.3314,AA,AA,AA,AA,AA,6.6193,6.7057,6.7117,6.9116,6.7045,0.5016,0.6975,0.931,1.1021,1.3413
136250.SH,16瑞茂01,-0.0972,-0.1706,-0.2426,-0.164,-0.0378,0.1392,71.4451,74.5836,74.0955,75.2642,75.3229,71.5491,AA,AA,AA,AA,AA,6.9112,7.196,7.1843,6.2628,6.1439,0.4461,0.6403,0.8634,0.1592,0.3953
136251.SH,16信地01,-0.006,0.1581,0.189,0.445,-0.0428,-0.0018,86.659,86.0265,85.9161,86.0087,86.7469,86.3905,AA+,AA+,AA+,AA,AA,3.9405,4.2682,4.4078,4.7126,4.5644,0.4377,0.633,0.8685,1.0637,1.3063
136253.SH,16中油03,0.1309,0.2577,0.4002,0.6358,0.1123,0.2583,41.9959,42.3252,43.588,42.5504,41.9534,41.8566,AAA,AAA,AAA,AAA,AAA,3.9978,4.447,4.8378,5.1421,4.5396,2.28,2.4716,2.6996,2.8395,3.0965
136254.SH,16中油04,0.1309,0.2577,0.4002,0.6358,0.1123,0.2583,41.9959,42.3252,43.588,42.5504,41.9534,41.8566,AAA,AAA,AAA,AAA,AAA,4.6282,4.8062,5.0858,5.2873,4.7338,6.2095,6.3937,6.6036,6.5571,6.8588
136255.SH,16泰阳债,,0.0055,,0.2686,,0.0064,,30.8405,,31.3995,,31.2508,AA+,AA+,AA+,AA+,AA+,7.989,8.1785,7.6798,7.8505,7.1841,1.3915,1.5829,1.8248,1.9416,2.1915
136256.SH,16南航01,0.0429,0.1443,0.2962,0.3076,0.0642,0.1145,71.9652,71.8842,69.9495,71.5269,70.0784,71.8446,AAA,AAA,AAA,AAA,AAA,3.1013,4.1041,4.4664,5.0154,4.3956,0.4591,0.6584,0.8892,1.0886,1.334
136257.SH,16新投02,-0.0627,0.005,0.0639,0.164,-0.0636,-0.0359,72.6241,74.4213,73.6378,71.4345,73.0381,72.598,AA+,AA+,AA+,AA+,AA+,5.1263,5.672,5.7201,6.0332,5.3787,2.2401,2.4274,2.662,2.7853,3.0419
136259.SH,16龙湖03,,0.027,0.0008,0.0031,0.0011,0.0167,,64.4086,67.5083,66.7937,69.3347,68.6706,AAA,AAA,AAA,AAA,AAA,3.7285,4.127,4.1966,4.5509,4.5368,0.4351,0.6259,0.8628,1.0596,1.2988
136260.SH,16龙湖04,,0.027,0.0008,0.0031,0.0011,0.0167,,64.4086,67.5083,66.7937,69.3347,68.6706,AAA,AAA,AAA,AAA,AAA,4.342,4.5812,4.4963,5.0451,4.8179,2.2352,2.4221,2.6662,2.7616,3.0165
136261.SH,16长园01,-0.0494,-0.053,-0.006,0.0179,-0.023,-0.0078,49.6907,52.0295,59.5372,59.9951,59.4255,58.5526,AA,AA,AA,AA,AA,4.0706,5.1458,5.2439,4.5298,4.6821,0.4597,0.6565,0.8856,0.1674,0.4041
136262.SH,16建元01,,-0.0079,,0.014,-0.0486,-0.0457,,69.9368,,70.9451,68.8777,69.2119,AA+,AA+,AA+,AA+,AA+,3.2623,3.564,3.743,4.0428,3.8717,0.4579,0.6549,0.8909,1.0928,1.3377
136263.SH,16建元02,,-0.0079,,0.014,-0.0486,-0.0457,,69.9368,,70.9451,68.8777,69.2119,AA+,AA+,AA+,AA+,AA+,3.9181,4.5294,4.8265,5.1391,4.4842,2.2806,2.4681,2.6985,2.827,3.086
136264.SH,16隆基01,-0.1055,0.0097,0.0546,0.1006,-0.0511,0.074,51.7882,58.1887,58.5689,56.6833,57.3418,59.599,AA+,AA+,AA+,AA+,AA+,5.3502,5.5501,5.5523,5.7444,5.4861,0.4546,0.6502,0.8863,1.0669,1.3102
136265.SH,16正奇01,,-0.3664,,-0.4178,,-0.1707,,67.163,,66.7374,,72.3087,AA,AA,AA,AA,AA,4.5404,5.6183,5.7226,6.2715,5.6514,0.4587,0.6545,0.8819,1.055,1.2974
136266.SH,16鑫苑02,,-0.0035,,0.131,,-0.053,,80.387,,84.0826,,84.7214,AA,AA,AA,AA,AA,7.7423,7.3042,7.1686,7.3506,7.1295,0.4477,0.6528,0.8884,1.0544,1.293
136267.SH,16广越03,-0.0231,-0.0467,-0.0599,-0.0031,-0.0658,-0.0063,83.1332,82.8653,83.3458,84.6658,84.8176,83.7586,AAA,AAA,AAA,AAA,AAA,3.5481,3.9667,4.116,4.344,4.2968,2.2989,2.4847,2.7178,2.8566,3.0985
136268.SH,16广越04,-0.0231,-0.0467,-0.0599,-0.0031,-0.0658,-0.0063,83.1332,82.8653,83.3458,84.6658,84.8176,83.7586,AAA,AAA,AAA,AAA,AAA,4.13,4.8972,5.0434,5.2314,4.8178,3.9496,4.0956,4.3223,4.3708,4.6452
136269.SH,16伊品债,,0.0704,,0.2862,,0.0743,,66.4808,,69.124,,67.0976,AA+,AA+,AA+,AA+,AA+,7.5727,7.6075,7.5745,7.7367,7.4992,0.4767,0.672,0.9045,1.0663,1.3043
136270.SH,16南网01,0.0878,0.1992,0.3063,0.3432,0.0584,0.1402,59.9889,60.2323,60.7773,60.6739,60.8229,61.054,AAA,AAA,AAA,AAA,AAA,4.0014,4.4481,4.8393,5.1415,4.5394,2.3012,2.4928,2.7208,2.8608,3.118
136271.SH,16天富01,0.0276,0.1168,0.156,0.0654,0.0052,0.1328,74.7426,75.4869,74.9163,65.9708,66.5165,67.247,AA,AA,AA,AA,AA,3.9916,4.3596,4.4863,4.7976,4.6211,0.4544,0.6486,0.8842,1.0793,1.3226
136272.SH,16国控01,-0.11,-0.0964,-0.0984,0.015,-0.0963,-0.068,70.8271,72.2908,72.6797,69.6471,72.1277,72.0338,AAA,AAA,AAA,AAA,AAA,3.0064,3.2944,3.4968,3.7926,3.6364,0.4639,0.6617,0.8977,1.1026,1.3477
136273.SH,16亿达01,,0.0477,,0.133,,0.032,,72.1519,,69.8419,,72.015,AA,AA,AA,AA,AA,8.0346,8.574,7.1304,9.4066,7.2051,0.4204,0.6044,0.8672,0.9863,1.2735
136274.SH,16海亮01,-0.0354,-0.0578,-0.0453,0.0624,-0.0101,0.0914,66.5584,69.5884,62.9855,62.5468,63.2531,62.876,AA+,AA+,AA+,AA+,AA+,5.8264,6.0738,6.0313,6.4849,5.9187,0.4716,0.6677,0.8942,1.0714,1.3128
136275.SH,16海正债,0.0112,0.0219,0.0791,0.1535,0.0355,0.0502,61.5819,61.9674,62.7013,63.6017,63.1753,64.5818,AA+,AA+,AA+,AA+,AA+,3.2546,3.5552,3.7279,4.0237,3.8434,0.4819,0.6789,0.9151,1.117,1.3623
136276.SH,16南山01,0.0055,0.0255,0.0211,0.0145,0.0097,0.0365,50.1529,51.1697,52.6232,52.0585,51.7585,52.9936,AAA,AAA,AAA,AAA,AAA,3.8415,4.0815,4.1227,4.3475,5.4962,0.4776,0.6749,0.9133,1.1095,1.3145
136277.SH,16华地01,0.0467,0.0678,0.1697,0.2445,0.1261,0.1051,48.4433,48.7817,50.2089,51.7933,49.92,49.1795,AA,AA,AA,AA,AA,4.8345,5.7964,5.8045,6.254,5.6102,0.7371,0.9232,1.1106,1.3404,1.5849
136278.SH,16紫江01,-0.0055,0.0253,0.0581,0.0885,-0.0265,0.0819,69.0769,69.03,67.5342,67.1663,68.1498,70.274,AA+,AA+,AA+,AA+,AA+,3.5625,3.8363,3.9099,4.1623,3.9588,0.4874,0.6845,0.9227,1.1219,1.3675
136279.SH,16渤水产,,-0.212,-0.1931,0.0009,,-0.2146,,8.9705,9.507,10.1683,,15.3329,AA,AA,AA,AA,AA,6.2716,6.4053,6.1683,5.9293,5.4665,2.196,2.3894,2.6337,2.7501,3.0093
136280.SH,16北汽01,,0.2382,,0.3637,,0.011,,20.8162,,23.6551,,23.2275,AAA,AAA,AAA,AAA,AAA,3.9533,4.4835,4.8313,5.1622,4.5054,2.3179,2.5074,2.7364,2.8753,3.1344
136281.SH,16华综02,-0.0832,-0.1095,-0.099,0.0117,-0.0204,-0.0124,56.7201,57.3652,59.4204,54.9361,53.6926,42.7759,AA+,AA+,AA+,AA+,AA+,4.4394,5.1194,5.2068,5.5627,4.963,2.2801,2.4651,2.6999,2.8267,3.0828
136282.SH,16华峰01,,0.004,,0.097,,0.0725,,54.8518,,52.5904,,54.0227,AA,AA,AA,AA,AA,5.112,5.4484,5.5852,5.8928,5.7364,0.4665,0.6594,0.8924,1.0753,1.3155
136283.SH,16浙交01,-0.013,0.0136,0.0148,-0.0634,0.04,0.042,67.0934,67.4554,66.8948,65.8308,66.2607,66.5595,AAA,AAA,AAA,AAA,AAA,4.2596,4.927,5.1256,5.4378,4.7772,2.3068,2.4923,2.7245,2.8617,3.1202
136284.SH,16浙交02,-0.013,0.0136,0.0148,-0.0634,0.04,0.042,67.0934,67.4554,66.8948,65.8308,66.2607,66.5595,AAA,AAA,AAA,AAA,AAA,4.9518,5.1839,5.3432,5.5155,4.8904,6.1866,6.3647,6.5857,6.5326,6.8427
136285.SH,16金隅01,-0.0803,-0.105,-0.1271,-0.1073,-0.0332,-0.0317,69.9342,71.4204,71.3471,69.8899,70.633,69.9633,AAA,AAA,AAA,AAA,AAA,3.2426,3.563,3.7573,4.071,4.1396,0.4755,0.672,0.9076,1.1097,1.3473
136286.SH,16金隅02,-0.0803,-0.105,-0.1271,-0.1073,-0.0332,-0.0317,69.9342,71.4204,71.3471,69.8899,70.633,69.9633,AAA,AAA,AAA,AAA,AAA,4.2662,4.6532,4.8779,5.1202,4.7409,2.2804,2.4665,2.6947,2.8226,3.0796
136287.SH,16首开01,,-0.1049,-0.1458,-0.1508,-0.0073,-0.0153,,82.2689,82.6062,79.2144,79.9708,79.3333,AAA,AAA,AAA,AAA,AAA,4.4792,5.1574,5.2454,5.6006,5.0009,2.2939,2.4787,2.7134,2.8465,3.1025
136288.SH,16建发02,-0.1724,-0.1334,-0.221,-0.2173,-0.1459,-0.156,73.3471,74.6813,75.6709,69.0993,73.0435,75.1773,AAA,AAA,AAA,AAA,AAA,3.9191,4.302,4.4323,4.681,4.2958,2.3152,2.502,2.7352,2.8716,3.1299
136289.SH,16珠江01,-0.0433,-0.0629,-0.0654,-0.0238,-0.0189,-0.0217,76.7021,77.7873,76.9899,76.3338,76.7453,77.8307,AAA,AAA,AAA,AAA,AAA,4.8616,4.4481,4.5364,4.8913,4.2915,2.2871,2.4987,2.735,2.8701,3.128
136290.SH,16航民01,,0.0906,,0.2238,,0.014,,52.6091,,51.6625,,52.128,AA,AA,AA,AA,AA,4.0251,4.2584,4.2919,4.5101,4.276,0.4798,0.6769,0.9153,1.1095,1.3552
136291.SH,16力帆02,-0.0055,-0.019,-0.0149,-0.0167,-0.0102,-0.0112,76.5191,77.9142,78.6856,75.7179,75.3077,75.0222,AA,AA,AA,AA,AA,12.9209,12.9142,7.6521,5.8915,5.9118,1.2601,1.447,1.7522,0.1949,0.4299
136292.SH,16中星01,,0.0902,,0.0885,,-0.0404,,76.2191,,72.8119,,71.3578,AAA,AAA,AAA,AAA,AAA,3.5866,3.9868,4.2602,4.6417,4.5387,0.4745,0.6686,0.9012,1.0997,1.3411
136293.SH,16兆泰02,-0.0301,-0.0442,,0.1022,,0.1709,61.4991,60.732,,58.4539,,57.4601,AA,AA,AA,AA,AA,4.2829,4.5997,4.7169,5.0069,4.8361,0.4763,0.6712,0.9065,1.0981,1.3407
136294.SH,16信地02,-0.006,0.1581,0.189,0.445,-0.0428,-0.0018,86.659,86.0265,85.9161,86.0087,86.7469,86.3905,AA+,AA+,AA+,AA,AA,3.9443,4.3618,4.5845,4.018,3.8112,0.4693,0.6623,0.8956,1.1172,1.3633
136295.SH,16川电01,-0.0364,0.0309,0.0786,0.1806,-0.1475,-0.141,69.3896,69.8822,69.995,70.9945,71.2478,71.2517,AA+,AA+,AA+,AA+,AA+,4.7871,5.603,5.5527,5.8895,5.1428,2.3082,2.489,2.7264,2.857,3.1173
136296.SH,16珠投04,,-0.0216,,-0.0316,,0.0172,,78.0025,,77.0785,,78.4615,AA+,AA+,AA+,AA+,AA+,5.3893,5.6252,5.7854,6.1122,6.025,0.4633,0.6581,0.8901,1.0734,1.311
136297.SH,16两江01,0.1534,-0.1586,-0.1553,-0.1453,0.0608,-0.1549,45.0813,43.0704,42.0275,41.0953,40.1137,38.0889,AAA,AAA,AAA,AAA,AAA,3.5485,4.6933,4.8658,5.312,4.6331,0.4953,0.6918,0.9212,1.1221,1.3678
136298.SH,16青港01,,0.0552,,0.1464,,0.117,,51.1899,,47.8444,,42.3111,AAA,AAA,AAA,AAA,AAA,2.9988,3.2901,3.4938,3.789,3.6282,0.4876,0.6853,0.9213,1.1263,1.3716
136299.SH,16翠微01,-0.0045,-0.0077,0.1097,0.0886,0.006,0.0133,41.1991,40.3002,42.173,40.7075,39.2532,38.8082,AAA,AAA,AAA,AAA,AAA,3.1861,3.503,3.7318,4.0478,3.9041,0.4931,0.6899,0.9246,1.1277,1.3718
136300.SH,16联泰02,,0.0051,0.0071,0.0959,,0.0513,,74.0169,74.189,74.2492,,74.3292,AA+,AA+,AA,AA,AA,5.7715,5.843,5.8588,6.0228,5.8707,0.4744,0.6717,0.9067,1.0857,1.3265
136301.SH,16龙盛03,-0.1024,-0.089,-0.1329,-0.0203,-0.0435,-0.0267,57.5077,57.9256,58.9349,59.1677,59.5689,59.4408,AA+,AA+,AA+,AA+,AA+,3.5455,3.8501,4.026,4.3248,4.1459,0.4831,0.6794,0.9148,1.1137,1.3582
136302.SH,16龙盛04,-0.1024,-0.089,-0.1329,-0.0203,-0.0435,-0.0267,57.5077,57.9256,58.9349,59.1677,59.5689,59.4408,AA+,AA+,AA+,AA+,AA+,4.8976,5.5042,5.8012,6.1121,5.4579,2.2762,2.4621,2.6904,2.8081,3.0648
136303.SH,16世茂G1,-0.0069,0.1176,0.1319,0.108,-0.0087,-0.1562,61.9137,59.5587,62.6063,62.3284,63.2877,53.0188,AAA,AAA,AAA,AAA,AAA,4.1914,5.2346,5.323,5.8577,5.2323,0.5042,0.6994,0.9272,1.1235,1.3673
136304.SH,16紫金01,0.0295,0.0962,0.1863,0.3391,0.0447,0.1654,64.5038,61.5601,59.7589,57.854,58.0822,58.5431,AAA,AAA,AAA,AAA,AAA,3.0901,3.4038,3.589,3.8954,4.6519,0.4872,0.6842,0.9203,1.1241,1.3411
136305.SH,16紫金02,0.0295,0.0962,0.1863,0.3391,0.0447,0.1654,64.5038,61.5601,59.7589,57.854,58.0822,58.5431,AAA,AAA,AAA,AAA,AAA,4.2649,4.8703,5.1678,5.4786,4.8242,2.3076,2.4946,2.7242,2.8572,3.1155
136306.SH,16复地01,,-0.0874,,-0.0113,-0.0288,-0.1204,,78.3112,,75.4082,74.2507,75.8388,AAA,AAA,AA+,AA+,AA+,3.0284,4.0706,4.3574,3.7897,4.0476,0.5072,0.7052,0.9356,0.2121,0.4489
136307.SH,16协信03,,0.0467,-0.0032,0.0237,,-0.0221,,79.4309,79.8908,77.4331,,78.6492,AA,AA,AA,AA,AA,6.9314,7.1172,7.2257,7.5115,7.3827,0.4621,0.6552,0.8853,1.0534,1.289
136308.SH,16皖经01,0.1404,0.3567,0.478,0.2789,0.1018,0.4231,43.5625,41.5734,40.1503,39.9054,40.3904,37.8314,AA+,AA+,AA+,AA+,AA+,4.9649,5.1447,5.246,5.498,5.3375,0.5037,0.7004,0.935,1.1238,1.365
136309.SH,16云投01,-0.0253,-0.0326,-0.0119,0.1084,-0.0282,-0.0318,70.4159,70.514,72.1604,67.7853,67.418,67.4707,AAA,AAA,AAA,AAA,AAA,4.6183,5.4371,5.3851,5.724,4.9771,2.2986,2.4796,2.7175,2.8482,3.1089
136310.SH,16当代01,0.0114,0.0248,0.0178,0.0478,0.01,0.0119,59.0936,59.3294,60.3597,54.9181,55.9631,57.5381,AA+,AA+,AA+,AA+,AA+,4.5426,4.8315,5.0451,4.9932,4.8709,0.4765,0.6715,0.9038,1.1078,1.349
136311.SH,16中化01,-0.109,-0.0679,-0.1045,-0.0923,-0.0553,0.0471,74.6708,73.4193,74.4943,77.4575,77.8612,78.6259,AAA,AAA,AAA,AAA,AAA,4.2642,4.8363,5.0577,5.3875,4.7308,2.3211,2.5089,2.7406,2.8787,3.1373
136312.SH,16皖投01,0.0013,0.0182,0.0259,0.0019,0.0011,0.0029,58.9196,56.5466,57.8945,59.0967,61.1171,60.6304,AAA,AAA,AAA,AAA,AAA,3.1139,3.4551,3.597,3.6788,4.0146,0.4861,0.6824,0.9196,1.13,1.3602
136313.SH,16西高科,,0.0305,,0.0359,,0.0025,,89.1573,,89.4779,,89.9133,AA+,AA+,AA+,AA+,AA+,4.4274,4.9334,4.9394,5.1884,5.0014,2.2892,2.4699,2.7073,2.8256,3.0725
136314.SH,16汇丰01,,0.0237,,0.0552,,0.0768,,63.5357,,60.1145,,58.8013,AA,AA,AA,AA,AA,6.0078,6.1229,6.1602,6.3846,6.2025,0.4799,0.6763,0.9103,1.0873,1.327
136315.SH,16远东三,-0.2334,-0.3145,-0.5355,-0.6394,-0.2859,-0.3592,85.3307,85.6679,84.7291,84.082,85.8243,85.097,AAA,AAA,AAA,AAA,AAA,3.1162,3.4262,3.6054,3.9072,3.7296,0.498,0.6949,0.9311,1.1347,1.3802
136316.SH,16福能债,0.021,0.0668,0.0379,0.1451,0.0212,0.1103,59.4258,59.6316,61.6655,63.7616,63.1988,65.4546,AAA,AAA,AAA,AAA,AAA,4.3085,4.9865,5.1862,5.4969,4.9454,2.3223,2.5073,2.7393,2.8746,3.1293
136317.SH,15智慧01,-0.0754,-0.1425,-0.1343,-0.0615,-0.0884,-0.0653,59.9016,63.4172,67.0358,68.151,69.2058,68.8115,AA,AA,AA,AA,AA,5.056,5.4163,5.5574,5.882,4.8575,0.5225,0.7148,0.9041,1.1313,1.3976
136318.SH,16中油05,0.1309,0.2577,0.4002,0.6358,0.1123,0.2583,41.9959,42.3252,43.588,42.5504,41.9534,41.8566,AAA,AAA,AAA,AAA,AAA,4.1217,4.4478,4.8395,5.1384,4.5368,2.3342,2.5284,2.7563,2.8978,3.1551
136319.SH,16中油06,0.1309,0.2577,0.4002,0.6358,0.1123,0.2583,41.9959,42.3252,43.588,42.5504,41.9534,41.8566,AAA,AAA,AAA,AAA,AAA,4.4875,4.666,4.9429,5.1436,4.5907,6.2967,6.4811,6.6915,6.6515,6.9535
136320.SH,16宇通01,-0.0948,-0.152,-0.0826,0.0259,,-0.1112,56.4734,60.5773,57.4992,56.9918,,55.6415,AAA,AAA,AAA,AAA,AAA,3.1339,3.4562,3.5783,3.8715,3.7047,0.497,0.6936,0.9313,1.1354,1.3807
136321.SH,16金泰债,-0.1327,-0.0235,-0.0236,0.0618,0.0435,0.1454,38.4093,37.6937,38.6682,34.1656,37.1343,39.9521,AA+,AA+,AA+,AA+,AA+,3.1551,4.1895,4.2646,4.795,4.1698,0.5121,0.7098,0.9414,1.1364,1.3828
136322.SH,16宇通02,-0.0948,-0.152,-0.0826,0.0259,,-0.1112,56.4734,60.5773,57.4992,56.9918,,55.6415,AAA,AAA,AAA,AAA,AAA,4.1368,4.4766,4.5421,4.7722,4.3823,2.3067,2.4948,2.7305,2.8605,3.1188
136323.SH,16越交01,,,,,,,,,,,,,AAA,AAA,AAA,AAA,AAA,2.9879,3.2904,3.5048,3.8084,3.654,0.4949,0.6924,0.928,1.1332,1.3782
136324.SH,16越交02,,,,,,,,,,,,,AAA,AAA,AAA,AAA,AAA,3.5933,3.9155,4.1494,4.3837,3.9833,2.3273,2.5172,2.7465,2.8807,3.1406
136325.SH,16金地01,-0.0571,-0.0354,-0.0006,-0.0669,-0.0271,-0.086,66.8015,69.6074,73.4527,72.1288,74.03,76.6331,AAA,AAA,AAA,AAA,AAA,2.8814,3.0558,3.138,3.3265,4.227,0.5039,0.703,0.942,1.1484,1.3545
136326.SH,16金地02,-0.0571,-0.0354,-0.0006,-0.0669,-0.0271,-0.086,66.8015,69.6074,73.4527,72.1288,74.03,76.6331,AAA,AAA,AAA,AAA,AAA,4.3612,4.6987,4.9076,5.1329,4.7236,2.2905,2.4758,2.703,2.8293,3.0912
