,TRADE_CODE,SEC_NAME,AMOUNT,MATURITYDATE,CARRYDATE,COUPONRATE,COUPONTXT,CLOSE,LATESTPAR,INTERESTFREQUENCY,CASHFLOW_TTM,DEBTTOASSETS,WGSD_LIABS_CURR,ISSUERSHORTENED,ISSUEAMOUNT,COUPONDATETXT,DIRTYPRICE,CLEANPRICE,WGSD_OPER_CF,YIELD_CNBD,DIRTY_CNBD,NET_CNBD,MODIDURA_SHC,ACCRUEDINTEREST_SHC,VOBP_SHC,CNVXTY_SHC,LASTDATE_SHC
146229.SH,146229,G武铁05,AAA,2020/1/18 0:00,2017/7/18 0:00,4.8,预期收益率4.8%,100,100,2,52993489.6,15.8741,,轨道交通建设公司,59000000,"每年1月18日和7月18日付息,节假日顺延",100.7627,100,,,,,,,,,1899-12-30 00:00:00
146228.SH,146228,G武铁04,AAA,2019/7/18 0:00,2017/7/18 0:00,4.8,预期收益率4.8%,100,100,2,52993489.6,15.8741,,轨道交通建设公司,52000000,"每年1月18日和7月18日付息,节假日顺延",100.7627,100,,,,,,,,,1899-12-30 00:00:00
146227.SH,146227,G武铁03,AAA,2019/1/18 0:00,2017/7/18 0:00,4.8,预期收益率4.8%,100,100,2,52993489.6,15.8741,,轨道交通建设公司,54000000,"每年1月18日和7月18日付息,节假日顺延",100.7627,100,,,,,,,,,1899-12-30 00:00:00
149541.SH,149541,国药3A3,AAA,2021/9/27 0:00,2018/5/31 0:00,6.6,预期收益率6.6%,,100,4,,,,国药集团,195000000,"按季付息,节假日顺延",,,,,,,,,,,1899-12-30 00:00:00
149540.SH,149540,国药3A2,AAA,2020/6/29 0:00,2018/5/31 0:00,6.2,预期收益率6.2%,100,100,4,,,,国药集团,158000000,"每年0326,0626,0926,1226付息,节假日顺延",101.8005,100,,,,,,,,,1899-12-30 00:00:00
149539.SH,149539,国药3A1,AAA,2019/6/26 0:00,2018/5/31 0:00,6.15,预期收益率6.15%,100,100,4,,,,国药集团,150000000,"每年0326,0626,0926,1226付息,节假日顺延",101.786,100,,,,,,,,,1899-12-30 00:00:00
149040.SH,149040,国药2优1,AAA,2019/6/12 0:00,2017/12/12 0:00,5.65,预期收益率5.65%,,100,,,,,国药集团,1132000000,,,,,,,,,,,,1899-12-30 00:00:00
149345.SH,149345,国药2A2,AAA,2020/6/21 0:00,2018/3/27 0:00,6.2,预期收益率6.2%,100,100,4,,,,国药集团,124000000,"每年0321,0621,0921,1221付息,节假日顺延",101.4438,100,,,,,,,,,1899-12-30 00:00:00
146252.SH,146252,国药01A3,AAA,2020/10/26 0:00,2017/7/28 0:00,6.1,预期收益率6.10%,100,100,4,,,,国药集团,115000000,"每年0126,0426,0726,1026付息,节假日顺延",100.8356,100,,,,,,,,,1899-12-30 00:00:00
149126.SH,149126,国融优A3,AAA,2019/7/17 0:00,2017/12/19 0:00,5.869,预期收益率5.869%,100,100,4,,93.4903,,厦门国际银行,264290000,"每年0117,0417,0717,1017付息,节假日顺延",100.9487,100,,,,,,,,,1899-12-30 00:00:00
149125.SH,149125,国融优A2,AAA,2019/7/17 0:00,2017/12/19 0:00,5.8,预期收益率5.80%,100,100,4,,93.4903,,厦门国际银行,587320000,"每年0117,0417,0717,1017付息,节假日顺延",100.9375,100,,,,,,,,,1899-12-30 00:00:00
142298.SH,142298,国控一B,AAA,2020/1/31 0:00,2016/10/20 0:00,4.5,预期收益率4.5%,100,100,4,1275642374,75.1753,,国药集团,100000000,"每年0126,0426,0726,1026付息,节假日顺延",100.6164,100,,,,,,,,,1899-12-30 00:00:00
113013.SH,113013,国君转债,AAA,2023/7/7 0:00,2017/7/7 0:00,0.2,第一年为0.2%、第二年为0.5%、第三年为1.0%、第四年为1.5%、第五年为1.8%、第六年为2.0%,102.4955,100,1,-4199936604,69.0268,,国泰君安,7000000000,"本次发行的可转债采用每年付息一次的付息方式,计息起始日为可转债发行首日,即2017年7月7日.到期归还本金和最后一年利息.每年的付息日为本次发行的可转债发行首日起每满一年的当日,如该日为法定节假日或休息日,则顺延至下一个交易日,顺延期间不另付息.每相邻的两个付息日之间为一个计息年度.",102.59,102.4955,-39705776000,,,,,,,,1899-12-30 00:00:00
142367.SH,142367,国金1B3,AAA,2019/8/16 0:00,2016/10/21 0:00,5,预期收益率5%,,100,,,,,国金租赁,55000000,"2017年11月16日分配一次利息,剩余到期利随本清,如提前摊还则摊还部分利随本清",,,,,,,,,,,1899-12-30 00:00:00
142366.SH,142366,国金1B2,AAA,2019/5/17 0:00,2016/10/21 0:00,5,预期收益率5%,,100,,,,,国金租赁,87000000,"2017年11月16日分配一次利息,剩余到期利随本清,如提前摊还则摊还部分利随本清",,,,,,,,,,,1899-12-30 00:00:00
142365.SH,142365,PR1B1,AAA,2019/2/26 0:00,2016/10/21 0:00,5,预期收益率5%,,61.3,,,,,国金租赁,123000000,"2017年11月16日分配一次利息,剩余到期利随本清,如提前摊还则摊还部分利随本清",,,,,,,,,,,1899-12-30 00:00:00
142364.SH,142364,国金1A9,AAA,2018/11/16 0:00,2016/10/21 0:00,4.2,预期收益率4.2%,,100,,,,,国金租赁,113000000,"2017年11月16日分配一次利息,剩余到期利随本清,如提前摊还则摊还部分利随本清",,,,,,,,,,,1899-12-30 00:00:00
149046.SH,149046,光租1A3,AAA,2020/4/30 0:00,2017/12/13 0:00,6.2,预期收益率6.2%,100,100,4,-643088663.8,82.4432,,光大幸福租赁,134800000,"每年0130,0430,0730,1030付息,节假日顺延",100.7814,100,,,,,,,,,1899-12-30 00:00:00
149045.SH,149045,光租1A2,AAA,2019/10/30 0:00,2017/12/13 0:00,6.1,预期收益率6.1%,100,100,4,-643088663.8,82.4432,,光大幸福租赁,377440000,"每年0130,0430,0730,1030付息,节假日顺延",100.7688,100,,,,,,,,,1899-12-30 00:00:00
116788.SZ,116788,广田2A1,AAA,2018/12/25 0:00,2017/12/25 0:00,6,预期收益率6%,3.22,5.17,4,-551549341.8,56.6398,7460108522,广田集团,468000000,"按季付息,节假日顺延",,3.22,1051385705,,,,,,,,1899-12-30 00:00:00
113009.SH,113009,广汽转债,AAA,2022/1/22 0:00,2016/1/22 0:00,0.2,第一年为0.2%、第二年为0.5%、第三年为1.0%、第四年为1.5%、第五年为1.5%、第六年为1.6%,101.2562,100,1,16292828819,41.1266,36618437000,广汽集团,4105580000,"1)本次可转债采用每年付息一次的付息方式,计息起始日为可转债发行首日,即2016年1月22日.2)付息日:每年的付息日为本次可转债发行首日起每满一年的当日.如该日为法定节假日或休息日,则顺延至下一个工作日,顺延期间不另付息.每相邻的两个付息日之间为一个计息年度.",101.9,101.2562,14659753000,,,,,,,,1899-12-30 00:00:00
116005.SZ,116005,广交投A6,AAA,2021/6/30 0:00,2015/10/27 0:00,5,预期收益率5.0%,85.5289,100,1,,,,广州快建,890000000,"每年6月30日付息,节假日顺延",86.57,85.5289,,,,,,,,,1899-12-30 00:00:00
116004.SZ,116004,广交投A5,AAA,2020/6/30 0:00,2015/10/27 0:00,4.8,预期收益率4.80%,86.1105,100,1,,,,广州快建,831000000,"每年6月30日付息,节假日顺延",87.11,86.1105,,,,,,,,,1899-12-30 00:00:00
116003.SZ,116003,广交投A4,AAA,2019/6/30 0:00,2015/10/27 0:00,4.8,预期收益率4.80%,86.1105,100,1,,,,广州快建,729000000,"每年6月30日付息,节假日顺延",87.11,86.1105,,,,,,,,,1899-12-30 00:00:00
142177.SH,142177,广汇热05,AAA,2021/5/19 0:00,2016/8/26 0:00,6.1,预期收益率为6.1%,100,100,1,,,,广汇热力,105000000,"每年5月19日付息,节假日顺延",101.9721,100,,,,,,,,,1899-12-30 00:00:00
142176.SH,142176,广汇热04,AAA,2020/5/19 0:00,2016/8/26 0:00,5.8,预期收益率为5.8%,100,100,1,,,,广汇热力,100000000,"每年5月19日付息,节假日顺延",101.8751,100,,,,,,,,,1899-12-30 00:00:00
142175.SH,142175,广汇热03,AAA,2019/5/19 0:00,2016/8/26 0:00,5.5,预期收益率为5.5%,100,100,1,,,,广汇热力,95000000,"每年5月19日付息,节假日顺延",101.7781,100,,,,,,,,,1899-12-30 00:00:00
113011.SH,113011,光大转债,AAA,2023/3/17 0:00,2017/3/17 0:00,0.2,第一年0.2%、第二年0.5%、第三年1.0%、第四年1.5%、第五年1.8%、第六年2.0%,105.2621,100,1,-79932000000,92.5289,,中国光大银行,30000000000,"本次发行的可转债采用每年付息一次的付息方式,计息起始日为本可转债发行首日,即2017年3月17日.每年的付息日为本次发行的可转债发行首日起每满一年的当日.如该日为法定节假日或休息日,则顺延至下一工作日,顺延期间不另付息,每相邻的两个付息日之间为一个计息年度.每年的付息债权登记日为每年付息日的前一交易日,发行人将在每年付息日之后的五个交易日内支付当年利息.",105.51,105.2621,-1.42721E+11,,,,,,,,1899-12-30 00:00:00
149500.SH,149500,G宁铁10,AAA,2028/5/18 0:00,2018/5/18 0:00,5.13,预期收益率5.13%,100,100,2,,,,南京地铁,193000000,"每年5月18日和11月18日付息,节假日顺延",101.6725,100,,,,,,,,,1899-12-30 00:00:00
149499.SH,149499,G宁铁09,AAA,2027/5/18 0:00,2018/5/18 0:00,5.13,预期收益率5.13%,100,100,2,,,,南京地铁,174000000,"每年5月18日和11月18日付息,节假日顺延",101.6725,100,,,,,,,,,1899-12-30 00:00:00
149498.SH,149498,G宁铁08,AAA,2026/5/18 0:00,2018/5/18 0:00,5.13,预期收益率5.13%,100,100,2,,,,南京地铁,156000000,"每年5月18日和11月18日付息,节假日顺延",101.6725,100,,,,,,,,,1899-12-30 00:00:00
149497.SH,149497,G宁铁07,AAA,2025/5/18 0:00,2018/5/18 0:00,5.13,预期收益率5.13%,100,100,2,,,,南京地铁,140000000,"每年5月18日和11月18日付息,节假日顺延",101.6725,100,,,,,,,,,1899-12-30 00:00:00
149496.SH,149496,G宁铁06,AAA,2024/5/18 0:00,2018/5/18 0:00,5.13,预期收益率5.13%,100,100,2,,,,南京地铁,120000000,"每年5月18日和11月18日付息,节假日顺延",101.6725,100,,,,,,,,,1899-12-30 00:00:00
149495.SH,149495,G宁铁05,AAA,2023/5/18 0:00,2018/5/18 0:00,5.13,预期收益率5.13%,100,100,2,,,,南京地铁,108000000,"每年5月18日和11月18日付息,节假日顺延",101.6725,100,,,,,,,,,1899-12-30 00:00:00
149494.SH,149494,G宁铁04,AAA,2022/5/18 0:00,2018/5/18 0:00,5.13,预期收益率5.13%,100,100,2,,,,南京地铁,94000000,"每年5月18日和11月18日付息,节假日顺延",101.6725,100,,,,,,,,,1899-12-30 00:00:00
149493.SH,149493,G宁铁03,AAA,2021/5/18 0:00,2018/5/18 0:00,5.13,预期收益率5.13%,100,100,2,,,,南京地铁,83000000,"每年5月18日和11月18日付息,节假日顺延",101.6725,100,,,,,,,,,1899-12-30 00:00:00
149492.SH,149492,G宁铁02,AAA,2020/5/18 0:00,2018/5/18 0:00,4.95,预期收益率4.95%,100,100,2,,,,南京地铁,71000000,"每年5月18日和11月18日付息,节假日顺延",101.6138,100,,,,,,,,,1899-12-30 00:00:00
149491.SH,149491,G宁铁01,AAA,2019/5/18 0:00,2018/5/18 0:00,4.9,预期收益率4.9%,100,100,2,,,,南京地铁,60000000,"每年5月18日和11月18日付息,节假日顺延",101.5975,100,,,,,,,,,1899-12-30 00:00:00
136715.SH,136715,G16节能4,AAA,2026/9/26 0:00,2016/9/26 0:00,3.55,3.55%,86.25,100,1,2629009335,69.9508,,中国节能,1500000000,"每年9月26日付息,节假日顺延",89.6833,86.25,,,,,,,,,2018/9/13 0:00
136714.SH,136714,G16节能3,AAA,2023/9/26 0:00,2016/9/26 0:00,3.11,"20160926-20210925,票面利率:3.11%;20210926-20230925,票面利率:3.11%+上调基点",94.82,100,1,2629009335,69.9508,,中国节能,500000000,"每年9月26日付息,节假日顺延",97.8278,94.82,,,,,,,,,2018/9/13 0:00
136626.SH,136626,G16节能2,AAA,2023/8/18 0:00,2016/8/18 0:00,3.13,"20160818-20210817,票面利率:3.13%;20210818-20230817,票面利率:3.13%+上调基点",92.18,100,1,2629009335,69.9508,,中国节能,2000000000,"每年8月18日付息,节假日顺延",92.4115,92.18,,,,,,,,,2018/9/13 0:00
136625.SH,136625,G16节能1,AAA,2021/8/18 0:00,2016/8/18 0:00,2.89,"20160818-20190817,票面利率:2.89%;20190818-20210817,票面利率:2.89%+上调基点",96.5,100,1,2629009335,69.9508,,中国节能,1000000000,"每年8月18日付息,节假日顺延",96.7138,96.5,,,,,,,,,2018/9/13 0:00
131999.SH,131999,G金风绿E,AAA,2021/8/3 0:00,2016/8/3 0:00,4.5,预期年收益率4.5%,100,100,2,326681166.4,67.7487,29600317000,金风科技,285000000,"每年2月3日和8月3日付息,节假日顺延",100.5178,100,3023449000,,,,,,,,1899-12-30 00:00:00
131998.SH,131998,G金风绿D,AAA,2020/8/3 0:00,2016/8/3 0:00,4.2,预期年收益率4.2%,100,100,2,326681166.4,67.7487,29600317000,金风科技,270000000,"每年2月3日和8月3日付息,节假日顺延",100.4833,100,3023449000,,,,,,,,1899-12-30 00:00:00
131997.SH,131997,G金风绿C,AAA,2019/8/3 0:00,2016/8/3 0:00,3.9,预期年收益率3.9%,100,100,2,326681166.4,67.7487,29600317000,金风科技,250000000,"每年2月3日和8月3日付息,节假日顺延",100.4488,100,3023449000,,,,,,,,1899-12-30 00:00:00
142530.SH,142530,G葛洲坝5,AAA,2021/11/22 0:00,2016/11/22 0:00,3.6,预期收益率3.6%,100,100,1,,,,寺坪水电,160000000,"每年11月22日付息,节假日顺延",102.9195,100,,,,,,,,,1899-12-30 00:00:00
142529.SH,142529,G葛洲坝4,AAA,2020/11/22 0:00,2016/11/22 0:00,3.5,预期收益率3.5%,100,100,1,,,,寺坪水电,150000000,"每年11月22日付息,节假日顺延",102.8384,100,,,,,,,,,1899-12-30 00:00:00
142528.SH,142528,G葛洲坝3,AAA,2019/11/22 0:00,2016/11/22 0:00,3.45,预期收益率3.45%,100,100,1,,,,寺坪水电,150000000,"每年11月22日付息,节假日顺延",102.7978,100,,,,,,,,,1899-12-30 00:00:00
142527.SH,142527,G葛洲坝2,AAA,2018/11/22 0:00,2016/11/22 0:00,3.3,预期收益率3.3%,100,100,1,,,,寺坪水电,150000000,"每年11月22日付息,节假日顺延",102.6762,100,,,,,,,,,1899-12-30 00:00:00
142901.SH,142901,G贵公交8,AAA,2025/3/29 0:00,2017/3/29 0:00,6,"20170329-20210328,票面利率:6%,20210329-20250328票面利率:6%+上调基点",100,100,4,,,,贵阳公交有限公司,370000000,"每年0329,0629,0929,1229付息,节假日顺延",101.2658,100,,,,,,,,,1899-12-30 00:00:00
142900.SH,142900,G贵公交7,AAA,2024/3/29 0:00,2017/3/29 0:00,6,"20170329-20210328,票面利率:6%,20210329-20240328票面利率:6%+上调基点",100,100,4,,,,贵阳公交有限公司,350000000,"每年0329,0629,0929,1229付息,节假日顺延",101.2658,100,,,,,,,,,1899-12-30 00:00:00
142896.SH,142896,G贵公交6,AAA,2023/3/29 0:00,2017/3/29 0:00,6.19,"20170329-20210328,票面利率:6.19%,20210329-20230328票面利率:6.19%+上调基点",100,100,4,,,,贵阳公交有限公司,330000000,"每年0329,0629,0929,1229付息,节假日顺延",101.3058,100,,,,,,,,,1899-12-30 00:00:00
142895.SH,142895,G贵公交5,AAA,2022/3/29 0:00,2017/3/29 0:00,6,"20170329-20210328,票面利率:6%,20210329-20220328,票面利率:6%+上调基点",100,100,4,,,,贵阳公交有限公司,330000000,"每年0329,0629,0929,1229付息,节假日顺延",101.2658,100,,,,,,,,,1899-12-30 00:00:00
142894.SH,142894,G贵公交4,AAA,2021/3/29 0:00,2017/3/29 0:00,5.8,预期收益率5.8%,100,100,4,,,,贵阳公交有限公司,310000000,"每年0329,0629,0929,1229付息,节假日顺延",101.2236,100,,,,,,,,,1899-12-30 00:00:00
142893.SH,142893,G贵公交3,AAA,2020/3/29 0:00,2017/3/29 0:00,5.5,预期收益率5.5%,100,100,4,,,,贵阳公交有限公司,290000000,"每年0329,0629,0929,1229付息,节假日顺延",101.1603,100,,,,,,,,,1899-12-30 00:00:00
149312.SH,149312,G福新11,AAA,2030/3/15 0:00,2018/3/15 0:00,5.1,预期收益率5.1%,100,100,2,,,,华电福新,26484200,"每年3月15日和9月15日付息,节假日顺延",102.557,100,,,,,,,,,1899-12-30 00:00:00
149311.SH,149311,G福新10,AAA,2029/3/15 0:00,2018/3/15 0:00,5.1,预期收益率5.1%,100,100,2,,,,华电福新,27635200,"每年3月15日和9月15日付息,节假日顺延",102.557,100,,,,,,,,,1899-12-30 00:00:00
149310.SH,149310,G福新09,AAA,2028/3/15 0:00,2018/3/15 0:00,5.1,预期收益率5.1%,100,100,2,,,,华电福新,26303600,"每年3月15日和9月15日付息,节假日顺延",102.557,100,,,,,,,,,1899-12-30 00:00:00
149309.SH,149309,G福新08,AAA,2027/3/15 0:00,2018/3/15 0:00,5.1,预期收益率5.1%,100,100,2,,,,华电福新,63682200,"每年3月15日和9月15日付息,节假日顺延",102.557,100,,,,,,,,,1899-12-30 00:00:00
149308.SH,149308,G福新07,AAA,2026/3/15 0:00,2018/3/15 0:00,5.1,预期收益率5.1%,100,100,2,,,,华电福新,60323300,"每年3月15日和9月15日付息,节假日顺延",102.557,100,,,,,,,,,1899-12-30 00:00:00
149307.SH,149307,G福新06,AAA,2025/3/15 0:00,2018/3/15 0:00,5.1,预期收益率5.1%,100,100,2,,,,华电福新,57416600,"每年3月15日和9月15日付息,节假日顺延",102.557,100,,,,,,,,,1899-12-30 00:00:00
149306.SH,149306,G福新05,AAA,2024/3/15 0:00,2018/3/15 0:00,5.1,预期收益率5.1%,100,100,2,,,,华电福新,124797000,"每年3月15日和9月15日付息,节假日顺延",102.557,100,,,,,,,,,1899-12-30 00:00:00
149305.SH,149305,G福新04,AAA,2023/3/15 0:00,2018/3/15 0:00,5.1,预期收益率5.1%,100,100,2,,,,华电福新,119180200,"每年3月15日和9月15日付息,节假日顺延",102.557,100,,,,,,,,,1899-12-30 00:00:00
149304.SH,149304,G福新03,AAA,2022/3/15 0:00,2018/3/15 0:00,5.1,预期收益率5.1%,100,100,2,,,,华电福新,113437500,"每年3月15日和9月15日付息,节假日顺延",102.557,100,,,,,,,,,1899-12-30 00:00:00
149303.SH,149303,G福新02,AAA,2021/3/15 0:00,2018/3/15 0:00,5.1,预期收益率5.1%,100,100,2,,,,华电福新,107971400,"每年3月15日和9月15日付息,节假日顺延",102.557,100,,,,,,,,,1899-12-30 00:00:00
149302.SH,149302,G福新01,AAA,2020/3/15 0:00,2018/3/15 0:00,5.1,预期收益率5.1%,100,100,2,,,,华电福新,102768800,"每年3月15日和9月15日付息,节假日顺延",102.557,100,,,,,,,,,1899-12-30 00:00:00
123932.SH,123932,高新热07,AAA,2022/4/23 0:00,2015/9/30 0:00,5.2,预期收益率5.2%,100,100,1,-178115116.6,92.9668,,西安高新热,325000000,"每年4月23日付息,节假日顺延",102.0515,100,,,,,,,,,1899-12-30 00:00:00
123931.SH,123931,高新热06,AAA,2021/4/23 0:00,2015/9/30 0:00,5.2,预期收益率5.2%,100,100,1,-178115116.6,92.9668,,西安高新热,315000000,"每年4月23日付息,节假日顺延",102.0515,100,,,,,,,,,1899-12-30 00:00:00
123930.SH,123930,高新热05,AAA,2020/4/23 0:00,2015/9/30 0:00,5,预期收益率5.0%,100,100,1,-178115116.6,92.9668,,西安高新热,280000000,"每年4月23日付息,节假日顺延",101.9726,100,,,,,,,,,1899-12-30 00:00:00
123929.SH,123929,高新热04,AAA,2019/4/23 0:00,2015/9/30 0:00,4.8,预期收益率4.8%,100,100,1,-178115116.6,92.9668,,西安高新热,235000000,"每年4月23日付息,节假日顺延",101.8937,100,,,,,,,,,1899-12-30 00:00:00
145605.SH,145605,G7云水Y1,AAA,2020/6/29 0:00,2017/6/29 0:00,7,7%,100,100,1,-2001302747,75.813,7919529000,云南水务,1200000000,"每年6月29日付息,节假日顺延",101.4767,100,-1991727000,,,,,,,,2018/9/13 0:00
143952.SH,143952,G18新Y1,AAA,2021/3/13 0:00,2018/3/13 0:00,5.96,5.96%,100,100,1,1344662532,69.3738,9472985000,新天绿色能源,590000000,"每年3月13日付息,节假日顺延",103.0208,100,2641796000,,,,,,,,2018/9/13 0:00
127788.SH,127788,G18武铁1,AAA,2033/4/11 0:00,2018/4/11 0:00,5.29,"20180411-20280410,票面利率:5.29%;20280411-20330410,票面利率:5.29%+调整基点",100,100,1,2827288931,69.3115,,武汉地铁,2000000000,"每年4月11日付息,节假日顺延",102.2609,100,,,,,,,,,2018/9/13 0:00
127792.SH,127792,G18龙源1,AAA,2025/4/23 0:00,2018/4/23 0:00,4.83,"20180423-20230422,票面利率:4.83%;20230423-20250422,票面利率:4.83%+调整基点",102,100,1,-1131643107,63.1006,47159418000,龙源电力,3000000000,"每年4月23日付息,节假日顺延",103.9055,102,12130830000,,,,,,,,2018/9/13 0:00
143519.SH,143519,G18临港2,AAA,2023/3/20 0:00,2018/3/20 0:00,5.28,"20180320-20210319,票面利率:5.28%;20210320-20230319,票面利率:5.28%+调整基点",101.6,100,1,1648127399,64.9705,,临港集团,350000000,"每年3月20日付息,节假日顺延",104.1749,101.6,,,,,,,,,2018/9/13 0:00
143518.SH,143518,G18临港1,AAA,2022/3/20 0:00,2018/3/20 0:00,5.28,"20180320-20200319,票面利率:5.28%;20200320-20220319,票面利率:5.28%+调整基点",100,100,1,1648127399,64.9705,,临港集团,650000000,"每年3月20日付息,节假日顺延",102.5749,100,,,,,,,,,2018/9/13 0:00
127782.SH,127782,G18金控1,AAA,2025/3/21 0:00,2018/3/21 0:00,5.88,"20180321-20230320,票面利率:5.88%;20230321-20250320,票面利率:5.88%+调整基点",100,100,1,-1972218715,63.0389,,金控集团,1000000000,"每年3月21日付息,节假日顺延",102.8514,100,,,,,,,,,2018/9/13 0:00
143544.SH,143544,G18华综1,AAA,2023/3/30 0:00,2018/3/30 0:00,5.27,"20180330-20210329,票面利率:5.27%;20210330-20230329,票面利率:5.27%+调整基点",100.9,100,1,11036468265,54.9361,,华发综合,1000000000,"每年3月30日付息,节假日顺延",103.3256,100.9,,,,,,,,,2018/9/13 0:00
127810.SH,127810,G18广业1,AAA,2025/4/28 0:00,2018/4/28 0:00,5.08,"20180428-20230427,票面利率:5.08%;20230428-20250427,票面利率:5.08%+调整基点",100,100,1,1400089879,61.9155,,广业集团,900000000,"每年4月28日付息,节假日顺延",101.9346,100,,,,,,,,,2018/9/13 0:00
143723.SH,143723,G18风电1,AAA,2023/7/18 0:00,2018/7/18 0:00,4.9,"20180718-20210717,票面利率:4.9%;20210718-20230717,票面利率:4.9%+调整基点",100,100,1,7230606.52,62.9283,3640560691,节能风电,700000000,"每年7月18日付息,节假日顺延",100.7786,100,1203308494,,,,,,,,2018/9/13 0:00
127764.SH,127764,G18城南1,AAA,2025/3/19 0:00,2018/3/19 0:00,6,6%,100,100,1,191446934.3,34.2377,,盐城城南投资,1000000000,"每年3月19日付息,节假日顺延",102.9425,100,,,,,,,,,2018/9/13 0:00
127686.SH,127686,G17扬城1,AAA,2027/10/30 0:00,2017/10/30 0:00,5.69,"20171030-20221029,票面利率:5.69%;20221030-20271029,票面利率:5.69%+调整基点",100,100,1,1432089956,55.5059,,扬中城投,2000000000,"每年10月30日付息,节假日顺延",104.9729,100,,,,,,,,,2018/9/13 0:00
127589.SH,127589,G17武铁1,AAA,2032/8/22 0:00,2017/8/22 0:00,4.99,"20170822-20270821,票面利率:4.99%;20270822-20320821,票面利率:4.99%+调整基点",100,100,1,2827288931,69.3115,,武汉地铁,3000000000,"每年8月22日付息,节假日顺延",100.3144,100,,,,,,,,,2018/9/13 0:00
145523.SH,145523,G17首Y1,AAA,2020/5/26 0:00,2017/5/26 0:00,5.5,5.50%,100,100,1,1753467809,66.3999,18366109316,首创股份,1000000000,"每年5月26日付息,节假日顺延",101.6726,100,2489257933,,,,,,,,2018/9/13 0:00
143329.SH,143329,G17三峡3,AAA,2020/10/19 0:00,2017/10/19 0:00,4.68,4.68%,99.14,100,1,14353088780,47.0172,,三峡集团,2000000000,"每年10月19日付息,节假日顺延",103.3712,99.14,,,,,,,,,2018/9/13 0:00
136833.SH,136833,G17三峡1,AAA,2020/8/15 0:00,2017/8/15 0:00,4.56,4.56%,99.68,100,1,14353088780,47.0172,,三峡集团,3500000000,"每年8月15日付息,节假日顺延",100.0548,99.68,,,,,,,,,2018/9/13 0:00
127540.SH,127540,G17龙源2,AAA,2024/8/1 0:00,2017/8/1 0:00,4.78,"20170801-20220731,票面利率:4.78%;20220801-20240731,票面利率:4.78%+调整基点",101,100,1,-1131643107,63.1006,47159418000,龙源电力,3000000000,"每年8月1日付息,节假日顺延",101.5762,101,12130830000,,,,,,,,2018/9/13 0:00
143110.SH,143110,G17龙源1,AAA,2022/5/16 0:00,2017/5/16 0:00,4.9,"20170516-20200515,票面利率:4.9%;20200516-20220515,票面利率:4.9%+调整基点",101.34,100,1,-1131643107,63.1006,47159418000,龙源电力,2000000000,"每年5月16日付息,节假日顺延",102.9644,101.34,12130830000,,,,,,,,2018/9/13 0:00
127470.SH,127470,G17龙湖3,AAA,2024/3/7 0:00,2017/3/7 0:00,4.75,"20170307-20220306,票面利率:4.75%;20220307-20240306,票面利率:4.75%+调整基点",98.25,100,1,19331634411,66.7937,,龙湖集团,1000000000,"每年3月7日付息,节假日顺延",100.7356,98.25,,,,,,,,,2018/9/13 0:00
127467.SH,127467,G17龙湖2,AAA,2024/2/17 0:00,2017/2/17 0:00,4.67,"20170217-20220216,票面利率:4.67%;20220217-20240216,票面利率:4.67%+调整基点",100,100,1,19331634411,66.7937,,龙湖集团,1440000000,"每年2月17日付息,节假日顺延",102.6741,100,,,,,,,,,2018/9/13 0:00
127451.SH,127451,G17龙湖1,AAA,2022/2/17 0:00,2017/2/17 0:00,4.4,"20170217-20200216,票面利率:4.4%;20200217-20220216,票面利率:4.4%+调整基点",96.77,100,1,19331634411,66.7937,,龙湖集团,1600000000,"每年2月17日付息,节假日顺延",99.2895,96.77,,,,,,,,,2018/9/13 0:00
127556.SH,127556,G17靖新1,AAA,2024/7/25 0:00,2017/7/25 0:00,5.37,5.37%,100,100,1,115031740.1,58.0177,,滨江新城公司,970000000,"每年7月25日付息,节假日顺延",100.7503,100,,,,,,,,,2018/9/13 0:00
127495.SH,127495,G17京汽1,AAA,2024/7/4 0:00,2017/7/4 0:00,4.72,"20170704-20220703,票面利率:4.72%;20220704-20240703,票面利率:4.72%+调整基点",100,100,1,531824894.3,64.3728,87060857000,北京汽车,2300000000,"每年7月4日付息,节假日顺延",100.9311,100,19502763000,,,,,,,,2018/9/13 0:00
127641.SH,127641,G17汇丰1,AAA,2024/9/21 0:00,2017/9/21 0:00,5.79,5.79%,100,100,1,2050825403,42.4752,,汇丰投资,2000000000,"每年9月21日付息,节假日顺延",105.679,100,,,,,,,,,2018/9/13 0:00
143249.SH,143249,G17华电4,AAA,2022/8/18 0:00,2017/8/18 0:00,4.55,"20170818-20200817,票面利率:4.55%;20200818-20220817,票面利率:4.55%+调整基点",98.37,100,1,5534814313,80.7115,,华电集团,1500000000,"每年8月18日付息,节假日顺延",98.7066,98.37,,,,,,,,,2018/9/13 0:00
143181.SH,143181,G17华电3,AAA,2027/7/20 0:00,2017/7/20 0:00,4.64,"20170720-20220719,票面利率:4.64%;20220720-20270719,票面利率:4.64%+调整基点",97.48,100,1,5534814313,80.7115,,华电集团,500000000,"每年7月20日付息,节假日顺延",98.1919,97.48,,,,,,,,,2018/9/13 0:00
