证券代码,证券简称,"估价收益率(上清所)
[日期] 2018-09-14","估价收益率(上清所)
[日期] 2018-06-29","估价收益率(上清所)
[日期] 2018-03-30","估价收益率(上清所)
[日期] 2017-12-29↓","估价修正久期(上清所)
[日期] 2018-09-14","估价收益率(上清所)
[日期] 2017-10-10","估价修正久期(上清所)
[日期] 2017-10-10","估价修正久期(上清所)
[日期] 2018-06-29","估价修正久期(上清所)
[日期] 2018-03-30","估价修正久期(上清所)
[日期] 2017-12-29"
101318.SZ,国债1318,3.4875,3.3980,3.6700,3.7949,4.3630,3.6396,5.0706,4.4859,4.7107,4.8489
019318.SH,13国债18,3.4875,3.3980,3.6700,3.7949,4.3630,3.6396,5.0706,4.4859,4.7107,4.8489
100907.SZ,国债0907,2.8586,3.2371,3.3797,3.7937,0.6161,3.5586,1.4731,0.8182,1.0439,1.2799
019907.SH,09国债07,2.8586,3.2371,3.3797,3.7937,0.6161,3.5586,1.4731,0.8182,1.0439,1.2799
101311.SZ,国债1311,3.4834,3.4093,3.6745,3.7928,4.1810,3.6429,4.9120,4.3887,4.5402,4.7737
019311.SH,13国债11,3.4834,3.4093,3.6745,3.7928,4.1810,3.6429,4.9120,4.3887,4.5402,4.7737
101502.SZ,国债1502,3.4234,3.3350,3.6024,3.7915,3.0576,3.5738,3.8289,3.2647,3.4959,3.6080
019502.SH,15国债02,3.4234,3.3350,3.6024,3.7915,3.0576,3.5738,3.8289,3.2647,3.4959,3.6080
101215.SZ,国债1215,3.4638,3.3807,3.6363,3.7903,3.5870,3.6048,4.3486,3.7336,3.9632,4.1279
019215.SH,12国债15,3.4638,3.3807,3.6363,3.7903,3.5870,3.6048,4.3486,3.7336,3.9632,4.1279
101622.SZ,国债1622,2.8879,3.2611,3.4032,3.7877,1.0619,3.5421,1.9083,1.2623,1.5016,1.7362
019550.SH,16国债22,2.8879,3.2611,3.4032,3.7877,1.0619,3.5421,1.9083,1.2623,1.5016,1.7362
100923.SZ,国债0923,2.8656,3.2604,3.3976,3.7860,0.9530,3.5359,1.8196,1.1536,1.3931,1.6039
019923.SH,09国债23,2.8656,3.2604,3.3976,3.7860,0.9530,3.5359,1.8196,1.1536,1.3931,1.6039
100912.SZ,国债0912,2.8667,3.2464,3.3716,3.7837,0.7277,3.5437,1.5835,0.9294,1.1548,1.3903
019912.SH,09国债12,2.8667,3.2464,3.3716,3.7837,0.7277,3.5437,1.5835,0.9294,1.1548,1.3903
101115.SZ,国债1115,3.3384,3.3274,3.5657,3.7820,2.5251,3.5832,3.3004,2.7296,2.9102,3.1436
019115.SH,11国债15,3.3384,3.3274,3.5657,3.7820,2.5251,3.5832,3.3004,2.7296,2.9102,3.1436
101221.SZ,国债1221,3.4601,3.3900,3.6463,3.7801,3.8113,3.6152,4.5521,4.0184,4.1764,4.4099
019221.SH,12国债21,3.4601,3.3900,3.6463,3.7801,3.8113,3.6152,4.5521,4.0184,4.1764,4.4099
101712.SZ,国债1712,2.8346,3.2215,3.3522,3.7757,0.7350,3.5287,1.5858,0.9327,1.1353,1.3708
019566.SH,17国债12,2.8346,3.2215,3.3522,3.7757,0.7350,3.5287,1.5858,0.9327,1.1353,1.3708
100818.SZ,国债0818,2.0053,2.9206,3.1780,3.7721,0.0219,3.4416,0.9076,0.2313,0.4749,0.6935
019818.SH,08国债18,2.0053,2.9206,3.1780,3.7721,0.0219,3.4416,0.9076,0.2313,0.4749,0.6935
101108.SZ,国债1108,3.2805,3.3154,3.5383,3.7695,2.2903,3.5782,3.1282,2.4937,2.7286,2.9106
019108.SH,11国债08,3.2805,3.3154,3.5383,3.7695,2.2903,3.5782,3.1282,2.4937,2.7286,2.9106
101303.SZ,国债1303,2.9646,3.2605,3.4188,3.7694,1.2878,3.5401,2.1145,1.4883,1.7271,1.8983
019303.SH,13国债03,2.9646,3.2605,3.4188,3.7694,1.2878,3.5401,2.1145,1.4883,1.7271,1.8983
101616.SZ,国债1616,2.8237,3.2275,3.3557,3.7690,0.8477,3.5193,1.7104,1.0199,1.2598,1.4950
019544.SH,16国债16,2.8237,3.2275,3.3557,3.7690,0.8477,3.5193,1.7104,1.0199,1.2598,1.4950
101716.SZ,国债1716,3.1445,3.2981,3.4769,3.7686,1.7739,3.5750,2.5995,1.9119,2.1493,2.3831
019570.SH,17国债16,3.1445,3.2981,3.4769,3.7686,1.7739,3.5750,2.5995,1.9119,2.1493,2.3831
101799.SZ,国特1703,3.5284,3.4476,3.7086,3.7676,3.5514,3.5829,4.4457,3.7588,3.9876,4.2251
019574.SH,17特国03,3.5284,3.4476,3.7086,3.7676,3.5514,3.5829,4.4457,3.7588,3.9876,4.2251
101426.SZ,国债1426,2.8693,3.2409,3.3833,3.7672,1.0590,3.5217,1.8846,1.2594,1.4988,1.7334
019426.SH,14国债26,2.8693,3.2409,3.3833,3.7672,1.0590,3.5217,1.8846,1.2594,1.4988,1.7334
101708.SZ,国债1708,3.0627,3.2765,3.4457,3.7645,1.5354,3.5552,2.3650,1.7365,1.9148,2.1487
019562.SH,17国债08,3.0627,3.2765,3.4457,3.7645,1.5354,3.5552,2.3650,1.7365,1.9148,2.1487
101406.SZ,国债1406,3.2768,3.3017,3.5298,3.7640,2.3501,3.5685,3.1267,2.5537,2.6755,2.9086
019406.SH,14国债06,3.2768,3.3017,3.5298,3.7640,2.3501,3.5685,3.1267,2.5537,2.6755,2.9086
101719.SZ,国债1719,2.8335,3.2287,3.3630,3.7633,0.9724,3.5134,1.8280,1.1378,1.3774,1.6123
019573.SH,17国债19,2.8335,3.2287,3.3630,3.7633,0.9724,3.5134,1.8280,1.1378,1.3774,1.6123
101002.SZ,国债1002,2.9893,3.2694,3.4218,3.7628,1.3243,3.5420,2.1582,1.5009,1.7397,1.9422
019002.SH,10国债02,2.9893,3.2694,3.4218,3.7628,1.3243,3.5420,2.1582,1.5009,1.7397,1.9422
101216.SZ,国债1216,2.8280,3.2269,3.3600,3.7627,0.9518,3.5125,1.8090,1.1187,1.3585,1.5933
019216.SH,12国债16,2.8280,3.2269,3.3600,3.7627,0.9518,3.5125,1.8090,1.1187,1.3585,1.5933
101702.SZ,国债1702,2.9513,3.2514,3.4089,3.7611,1.2804,3.5310,2.1181,1.4809,1.7197,1.9019
019556.SH,17国债02,2.9513,3.2514,3.4089,3.7611,1.2804,3.5310,2.1181,1.4809,1.7197,1.9019
100927.SZ,国债0927,2.8829,3.2477,3.3888,3.7603,1.0817,3.5175,1.9126,1.2821,1.4958,1.7305
019927.SH,09国债27,2.8829,3.2477,3.3888,3.7603,1.0817,3.5175,1.9126,1.2821,1.4958,1.7305
101519.SZ,国债1519,3.1634,3.2927,3.4779,3.7571,1.8906,3.5685,2.7215,2.0342,2.2712,2.5050
019519.SH,15国债19,3.1634,3.2927,3.4779,3.7571,1.8906,3.5685,2.7215,2.0342,2.2712,2.5050
101041.SZ,国债1041,3.2255,3.3063,3.5047,3.7554,2.0944,3.5723,2.8900,2.2969,2.4903,2.7240
019041.SH,10国债41,3.2255,3.3063,3.5047,3.7554,2.0944,3.5723,2.8900,2.2969,2.4903,2.7240
101210.SZ,国债1210,2.8127,3.1954,3.3292,3.7535,0.7141,3.5080,1.5692,0.9123,1.1186,1.3542
019210.SH,12国债10,2.8127,3.1954,3.3292,3.7535,0.7141,3.5080,1.5692,0.9123,1.1186,1.3542
101602.SZ,国债1602,3.2289,3.2932,3.5038,3.7509,2.1867,3.5641,3.0043,2.3895,2.6253,2.7871
019530.SH,16国债02,3.2289,3.2932,3.5038,3.7509,2.1867,3.5641,3.0043,2.3895,2.6253,2.7871
101408.SZ,国债1408,2.7689,3.1582,3.3170,3.7474,0.5981,3.5078,1.4449,0.7985,0.9942,1.2302
019408.SH,14国债08,2.7689,3.1582,3.3170,3.7474,0.5981,3.5078,1.4449,0.7985,0.9942,1.2302
101019.SZ,国债1019,3.1040,3.2785,3.4492,3.7433,1.6712,3.5496,2.4899,1.8725,2.0788,2.3129
019019.SH,10国债19,3.1040,3.2785,3.4492,3.7433,1.6712,3.5496,2.4899,1.8725,2.0788,2.3129
100903.SZ,国债0903,2.6788,3.1440,3.3224,3.7428,0.4841,3.5127,1.3467,0.6701,0.9102,1.1324
019903.SH,09国债03,2.6788,3.1440,3.3224,3.7428,0.4841,3.5127,1.3467,0.6701,0.9102,1.1324
101205.SZ,国债1205,2.6224,3.1242,3.3080,3.7428,0.4735,3.5118,1.3259,0.6758,0.9114,1.1116
019205.SH,12国债05,2.6224,3.1242,3.3080,3.7428,0.4735,3.5118,1.3259,0.6758,0.9114,1.1116
101503.SZ,国债1503,2.9511,3.2357,3.3959,3.7421,1.3209,3.5153,2.1496,1.5215,1.7602,1.9333
019503.SH,15国债03,2.9511,3.2357,3.3959,3.7421,1.3209,3.5153,2.1496,1.5215,1.7602,1.9333
101522.SZ,国债1522,1.9771,2.9022,3.1492,3.7413,0.0274,3.4366,0.9257,0.2367,0.4803,0.7172
019522.SH,15国债22,1.9771,2.9022,3.1492,3.7413,0.0274,3.4366,0.9257,0.2367,0.4803,0.7172
101315.SZ,国债1315,3.0977,3.2613,3.4377,3.7339,1.7322,3.5381,2.5581,1.8702,2.1078,2.3417
019315.SH,13国债15,3.0977,3.2613,3.4377,3.7339,1.7322,3.5381,2.5581,1.8702,2.1078,2.3417
101609.SZ,国债1609,2.7613,3.1469,3.3032,3.7319,0.6088,3.4931,1.4688,0.8090,1.0180,1.2541
019537.SH,16国债09,2.7613,3.1469,3.3032,3.7319,0.6088,3.4931,1.4688,0.8090,1.0180,1.2541
101320.SZ,国债1320,3.1534,3.2653,3.4562,3.7262,1.9131,3.5395,2.6949,2.1152,2.3519,2.5857
019320.SH,13国债20,3.1534,3.2653,3.4562,3.7262,1.9131,3.5395,2.6949,2.1152,2.3519,2.5857
019578.SH,17国债23,3.1587,3.2656,3.4584,3.7255,1.9484,,,2.1505,2.3872,2.6210
101723.SZ,国债1723,3.1587,3.2656,3.4584,3.7255,1.9484,,,2.1505,2.3872,2.6210
101007.SZ,国债1007,2.9904,3.2312,3.3984,3.7194,1.4318,3.5047,2.2905,1.6327,1.8711,2.0742
019007.SH,10国债07,2.9904,3.2312,3.3984,3.7194,1.4318,3.5047,2.2905,1.6327,1.8711,2.0742
101024.SZ,国债1024,3.1137,3.2616,3.4359,3.7185,1.7844,3.5327,2.6057,1.9556,2.1932,2.3893
019024.SH,10国债24,3.1137,3.2616,3.4359,3.7185,1.7844,3.5327,2.6057,1.9556,2.1932,2.3893
101603.SZ,国债1603,2.4201,3.1041,3.2754,3.7182,0.3693,3.4912,1.2306,0.5732,0.8108,1.0165
019531.SH,16国债03,2.4201,3.1041,3.2754,3.7182,0.3693,3.4912,1.2306,0.5732,0.8108,1.0165
019579.SH,17国债24,2.0597,3.0822,3.2062,3.7170,0.1339,,,0.3416,0.5834,0.8182
101724.SZ,国债1724,2.0597,3.0822,3.2062,3.7170,0.1339,,,0.3416,0.5834,0.8182
101323.SZ,国债1323,2.0742,3.0945,3.2126,3.7156,0.1475,3.4614,0.9999,0.3550,0.5966,0.8311
019323.SH,13国债23,2.0742,3.0945,3.2126,3.7156,0.1475,3.4614,0.9999,0.3550,0.5966,0.8311
101401.SZ,国债1401,2.3139,3.1118,3.2621,3.7128,0.3128,3.4827,1.1584,0.5176,0.7562,0.9444
019401.SH,14国债01,2.3139,3.1118,3.2621,3.7128,0.3128,3.4827,1.1584,0.5176,0.7562,0.9444
101403.SZ,国债1403,3.1856,3.2528,3.4627,3.7115,2.1453,3.5233,2.9195,2.3480,2.5839,2.7020
019403.SH,14国债03,3.1856,3.2528,3.4627,3.7115,2.1453,3.5233,2.9195,2.3480,2.5839,2.7020
101031.SZ,国债1031,3.1120,3.2391,3.4254,3.6954,1.8652,3.5078,2.7169,2.0671,2.3042,2.5002
019031.SH,10国债31,3.1120,3.2391,3.4254,3.6954,1.8652,3.5078,2.7169,2.0671,2.3042,2.5002
101413.SZ,国债1413,3.2025,3.1806,3.4266,3.6456,2.6009,3.4401,3.3862,2.7002,2.9338,3.1672
019413.SH,14国债13,3.2025,3.1806,3.4266,3.6456,2.6009,3.4401,3.3862,2.7002,2.9338,3.1672
101121.SZ,国债1121,1.8818,2.8793,3.0477,3.5952,0.0793,3.3160,0.9392,0.2880,0.5310,0.7673
019121.SH,11国债21,1.8818,2.8793,3.0477,3.5952,0.0793,3.3160,0.9392,0.2880,0.5310,0.7673
101812.SZ,国债1812,4.2386,3.9962,,,20.4751,,,21.3331,,
019594.SH,18国债12,4.2386,3.9962,,,20.4751,,,21.3331,,
019599.SH,18国债17,4.2314,,,,16.6925,,,,,
101817.SZ,国债1817,4.2314,,,,16.6925,,,,,
101806.SZ,国债1806,4.1949,3.9618,4.1284,,16.1895,,,16.6745,16.7118,
019588.SH,18国债06,4.1949,3.9618,4.1284,,16.1895,,,16.6745,16.7118,
019601.SH,18国债19,3.5402,,,,8.1407,,,,,
101819.SZ,国债1819,3.5402,,,,8.1407,,,,,
101811.SZ,国债1811,3.5879,3.4773,,,7.8504,,,8.0708,,
019593.SH,18国债11,3.5879,3.4773,,,7.8504,,,8.0708,,
101804.SZ,国债1804,3.6372,3.5166,3.6838,,7.6642,,,7.7415,7.9570,
019586.SH,18国债04,3.6372,3.5166,3.6838,,7.6642,,,7.7415,7.9570,
019602.SH,18国债20,3.6399,,,,6.0647,,,,,
101820.SZ,国债1820,3.6399,,,,6.0647,,,,,
101813.SZ,国债1813,3.6164,3.4677,,,5.8246,,,6.0404,,
019595.SH,18国债13,3.6164,3.4677,,,5.8246,,,6.0404,,
101805.SZ,国债1805,3.5839,3.4301,3.6944,,5.5637,,,5.7797,5.9989,
019587.SH,18国债05,3.5839,3.4301,3.6944,,5.5637,,,5.7797,5.9989,
019598.SH,18国债16,3.4698,,,,4.3598,,,,,
101816.SZ,国债1816,3.4698,,,,4.3598,,,,,
101809.SZ,国债1809,3.3280,3.2537,,,4.1543,,,4.3622,,
019591.SH,18国债09,3.3280,3.2537,,,4.1543,,,4.3622,,
101801.SZ,国债1801,3.3699,3.3007,3.5631,,3.8625,,,4.0699,4.2981,
019583.SH,18国债01,3.3699,3.3007,3.5631,,3.8625,,,4.0699,4.2981,
019596.SH,18国债14,3.3466,,,,2.6217,,,,,
101814.SZ,国债1814,3.3466,,,,2.6217,,,,,
101807.SZ,国债1807,3.3049,3.3232,,,2.3955,,,2.5992,,
019589.SH,18国债07,3.3049,3.3232,,,2.3955,,,2.5992,,
101802.SZ,国债1802,3.1332,3.1937,3.4063,,2.1917,,,2.3947,2.6306,
019584.SH,18国债02,3.1332,3.1937,3.4063,,2.1917,,,2.3947,2.6306,
019597.SH,18国债15,3.0990,,,,1.7376,,,,,
101815.SZ,国债1815,3.0990,,,,1.7376,,,,,
101808.SZ,国债1808,3.0471,3.2670,,,1.5159,,,1.7169,,
019590.SH,18国债08,3.0471,3.2670,,,1.5159,,,1.7169,,
019600.SH,18国债18,2.8143,,,,0.8973,,,,,
101818.SZ,国债1818,2.8143,,,,0.8973,,,,,
101810.SZ,国债1810,2.8061,3.1837,,,0.6588,,,0.8581,,
019592.SH,18国债10,2.8061,3.1837,,,0.6588,,,0.8581,,
020260.SH,18贴债43,2.6160,,,,0.4815,,,,,
108259.SZ,贴债1843,2.6160,,,,0.4815,,,,,
020255.SH,18贴债38,2.4070,,,,0.4069,,,,,
108254.SZ,贴债1838,2.4070,,,,0.4069,,,,,
101803.SZ,国债1803,2.3810,3.0438,3.2177,,0.3801,,,0.5840,0.8215,
019585.SH,18国债03,2.3810,3.0438,3.2177,,0.3801,,,0.5840,0.8215,
020250.SH,18贴债33,2.3465,,,,0.3316,,,,,
108249.SZ,贴债1833,2.3465,,,,0.3316,,,,,
020259.SH,18贴债42,2.1093,,,,0.2372,,,,,
108260.SZ,贴债1842,2.1093,,,,0.2372,,,,,
108243.SZ,贴债1827,2.1900,3.1250,,,0.2371,,,0.4431,,
020244.SH,18贴债27,2.1900,3.1250,,,0.2371,,,0.4431,,
020258.SH,18贴债41,2.1106,,,,0.2182,,,,,
108258.SZ,贴债1841,2.1106,,,,0.2182,,,,,
020257.SH,18贴债40,2.0800,,,,0.1992,,,,,
108257.SZ,贴债1840,2.0800,,,,0.1992,,,,,
020256.SH,18贴债39,2.0000,,,,0.1802,,,,,
108256.SZ,贴债1839,2.0000,,,,0.1802,,,,,
108238.SZ,贴债1822,2.2374,3.2521,,,0.1611,,,0.3681,,
020239.SH,18贴债22,2.2374,3.2521,,,0.1611,,,0.3681,,
020254.SH,18贴债37,2.0062,,,,0.1611,,,,,
108255.SZ,贴债1837,2.0062,,,,0.1611,,,,,
020253.SH,18贴债36,2.1628,,,,0.1420,,,,,
108253.SZ,贴债1836,2.1628,,,,0.1420,,,,,
020252.SH,18贴债35,2.0149,,,,0.1230,,,,,
108252.SZ,贴债1835,2.0149,,,,0.1230,,,,,
020251.SH,18贴债34,1.9756,,,,0.1039,,,,,
108251.SZ,贴债1834,1.9756,,,,0.1039,,,,,
108233.SZ,贴债1817,2.0238,3.0259,,,0.0848,,,0.2933,,
020234.SH,18贴债17,2.0238,3.0259,,,0.0848,,,0.2933,,
020249.SH,18贴债32,1.9298,,,,0.0848,,,,,
108250.SZ,贴债1832,1.9298,,,,0.0848,,,,,
020248.SH,18贴债31,1.9607,,,,0.0657,,,,,
108248.SZ,贴债1831,1.9607,,,,0.0657,,,,,
020247.SH,18贴债30,2.3489,,,,0.0465,,,,,
108247.SZ,贴债1830,2.3489,,,,0.0465,,,,,
108246.SZ,贴债1829,2.0627,2.9875,,,0.0274,,,0.2367,,
020246.SH,18贴债29,2.0627,2.9875,,,0.0274,,,0.2367,,
108261.SZ,贴债1844,,,,,,,,,,
020261.SH,18贴债44,,,,,,,,,,
,,,,,,,,,,,
数据来源：Wind,,,,,,,,,,,
